zaman_araligi,kisi_sayisi
09:00:00-09:00:05,0
09:00:05-09:00:10,0
09:00:10-09:00:15,1
09:00:15-09:00:20,1
09:00:20-09:00:25,1
09:00:25-09:00:30,2
09:00:30-09:00:35,1
09:00:35-09:00:40,0
09:00:40-09:00:45,1
09:00:45-09:00:50,2
09:00:50-09:00:55,1
09:00:55-09:01:00,0
09:01:00-09:01:05,0
09:01:05-09:01:10,0
09:01:10-09:01:15,0
09:01:15-09:01:20,0
09:01:20-09:01:25,1
09:01:25-09:01:30,1
09:01:30-09:01:35,1
09:01:35-09:01:40,0
09:01:40-09:01:45,1
09:01:45-09:01:50,2
09:01:50-09:01:55,2
09:01:55-09:02:00,2
09:02:00-09:02:05,1
09:02:05-09:02:10,2
09:02:10-09:02:15,2
09:02:15-09:02:20,2
